,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
0,29,10,0,2,0,1,1,0,2,4,286,3,999,0,0,0
1,50,2,1,6,0,0,0,0,1,2,178,6,999,0,0,0
2,29,2,1,6,0,0,0,1,3,1,103,4,999,0,0,0
3,35,2,1,6,0,0,0,0,0,3,135,1,999,0,0,0
4,40,3,1,1,1,0,0,1,0,1,418,1,999,0,0,0
5,45,10,0,0,1,0,0,1,0,0,211,5,999,0,0,0
6,34,1,0,1,0,1,1,0,0,1,596,1,999,0,0,0
7,38,3,1,1,0,0,0,0,0,1,364,2,999,0,0,0
8,38,3,1,6,0,0,0,1,2,2,176,1,999,0,0,0
9,58,7,0,0,1,1,0,1,7,3,439,4,999,0,0,0
10,31,6,0,6,0,0,1,1,3,3,166,2,999,0,0,0
11,35,3,0,0,1,0,0,0,1,1,409,1,999,0,0,0
12,26,1,1,1,0,0,0,0,0,4,177,4,999,0,0,0
13,31,11,1,6,0,0,0,1,3,1,279,4,6,2,2,1
14,25,8,2,6,0,0,0,1,8,0,111,1,999,0,0,0
15,53,2,2,6,0,1,1,1,7,3,431,1,999,1,1,0
16,22,11,1,1,0,0,0,1,4,4,270,3,6,1,2,1
17,58,1,0,1,0,1,0,1,2,4,72,30,999,0,0,0
18,33,2,2,1,0,0,1,1,2,3,83,3,999,0,0,0
19,32,1,1,1,0,1,0,0,0,2,180,2,999,0,0,0
20,38,6,1,6,0,0,0,1,0,2,123,2,999,0,0,0
21,33,2,0,6,0,2,2,0,1,3,49,1,999,0,0,0
22,56,6,0,0,1,1,0,1,2,1,122,1,999,0,0,0
23,54,5,2,6,0,1,0,1,2,1,152,2,999,0,0,0
24,29,2,0,6,0,0,1,1,3,3,220,3,999,0,0,0
25,37,2,0,6,0,1,0,1,5,4,281,1,999,0,0,1
26,33,1,0,1,0,1,1,0,0,1,274,1,999,0,0,0
27,39,3,0,0,0,0,0,1,0,4,180,2,999,0,0,0
28,47,2,2,6,0,1,1,1,3,1,185,1,999,0,0,1
29,59,3,0,0,0,0,0,1,3,1,163,3,999,0,0,0
30,31,3,0,1,0,0,0,1,5,2,436,1,999,0,0,0
31,44,4,0,6,0,1,1,1,8,3,504,2,999,0,0,1
32,88,5,2,0,0,1,0,1,7,2,96,6,999,0,0,0
33,30,1,0,1,0,1,0,1,2,0,559,4,999,0,0,0
34,37,3,0,0,0,0,0,1,0,3,345,1,999,0,0,1
35,29,2,0,6,0,1,0,1,0,0,167,1,999,0,0,0
36,23,1,1,4,1,0,0,0,1,3,202,1,999,0,0,0
37,37,3,2,3,0,1,0,1,0,2,438,2,999,0,0,0
38,26,1,2,2,0,0,0,0,0,3,186,1,999,0,0,0
39,32,4,1,4,0,0,0,1,0,4,53,3,999,0,0,0
40,44,6,0,6,0,0,0,0,0,4,627,1,999,0,0,0
41,28,2,1,1,0,0,1,1,7,4,77,2,999,0,0,0
42,51,5,0,3,0,1,0,1,5,3,259,1,999,0,0,0
43,50,1,0,1,0,1,0,1,5,1,90,1,999,0,0,0
44,31,1,0,3,0,1,0,0,1,2,886,2,999,0,0,0
45,29,2,1,1,1,0,0,1,2,4,487,3,999,0,0,0
46,42,3,0,0,1,0,0,0,0,3,391,3,999,0,0,0
47,27,3,0,3,0,0,0,0,1,0,176,4,999,0,0,0
48,36,3,0,1,0,0,1,0,1,4,164,3,999,0,0,0
49,53,1,0,4,0,1,0,1,2,2,185,10,999,0,0,0
50,42,4,2,4,0,1,1,1,3,1,158,1,999,0,0,0
51,37,3,1,5,0,0,0,0,1,2,65,10,999,0,0,0
52,67,5,0,0,0,0,0,1,3,0,341,2,13,1,2,1
53,25,8,1,6,0,1,0,0,0,2,373,3,999,0,0,0
54,31,4,0,4,0,0,0,1,3,3,184,1,999,0,0,0
55,39,2,0,6,0,1,0,1,1,0,206,1,999,1,1,0
56,25,11,1,1,0,0,0,0,8,2,405,1,999,0,0,1
57,43,6,0,6,0,1,0,1,3,2,535,1,999,0,0,0
58,36,3,0,0,1,0,0,1,0,4,612,1,999,0,0,0
59,38,1,0,1,0,0,0,1,5,2,426,2,999,1,1,0
60,41,3,1,3,0,0,0,0,0,3,74,1,999,0,0,0
61,36,6,0,6,0,0,0,1,3,1,231,2,999,0,0,0
62,31,0,1,1,0,1,0,1,2,2,125,3,999,0,0,0
63,25,7,0,1,0,0,0,1,1,3,125,2,999,0,0,0
64,35,4,2,4,0,1,0,1,8,2,405,1,999,0,0,0
65,46,4,0,4,0,0,0,1,0,1,87,2,999,0,0,0
66,37,3,0,3,0,0,0,1,0,2,224,7,999,0,0,0
67,48,4,0,0,1,0,0,1,5,4,362,1,999,0,0,0
68,43,3,0,2,0,1,0,1,0,4,156,3,999,0,0,0
69,32,2,0,6,0,0,0,1,3,0,270,1,999,0,0,0
70,35,6,1,6,0,0,0,1,0,1,68,1,999,0,0,0
71,41,3,2,3,0,0,0,1,3,1,102,1,999,0,0,0
