,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
0,29.0,10.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,4.0,286.0,3.0,999.0,0.0,0.0,0
1,50.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,178.0,6.0,999.0,0.0,0.0,0
2,29.0,2.0,1.0,6.0,0.0,0.0,0.0,1.0,3.0,1.0,103.0,4.0,999.0,0.0,0.0,0
3,35.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,135.0,1.0,999.0,0.0,0.0,0
4,40.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,418.0,1.0,999.0,0.0,0.0,0
5,45.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,211.0,5.0,999.0,0.0,0.0,0
6,34.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,596.0,1.0,999.0,0.0,0.0,0
7,38.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,364.0,2.0,999.0,0.0,0.0,0
8,38.0,3.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,2.0,176.0,1.0,999.0,0.0,0.0,0
9,58.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,3.0,439.0,4.0,999.0,0.0,0.0,0
10,31.0,6.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,3.0,166.0,2.0,999.0,0.0,0.0,0
11,35.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,409.0,1.0,999.0,0.0,0.0,0
12,26.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,177.0,4.0,999.0,0.0,0.0,0
13,31.0,11.0,1.0,6.0,0.0,0.0,0.0,1.0,3.0,1.0,279.0,4.0,999.0,2.0,2.0,1
14,25.0,8.0,2.0,6.0,0.0,0.0,0.0,1.0,8.0,0.0,111.0,1.0,999.0,0.0,0.0,0
15,53.0,2.0,2.0,6.0,0.0,1.0,1.0,1.0,7.0,3.0,431.0,1.0,999.0,1.0,1.0,0
16,22.0,11.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,270.0,3.0,999.0,1.0,2.0,1
17,58.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,72.0,30.0,999.0,0.0,0.0,0
18,33.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,83.0,3.0,999.0,0.0,0.0,0
19,32.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,180.0,2.0,999.0,0.0,0.0,0
20,38.0,6.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,123.0,2.0,999.0,0.0,0.0,0
21,33.0,2.0,0.0,6.0,0.0,2.0,2.0,0.0,1.0,3.0,49.0,1.0,999.0,0.0,0.0,0
22,56.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,122.0,1.0,999.0,0.0,0.0,0
23,54.0,5.0,2.0,6.0,0.0,1.0,0.0,1.0,2.0,1.0,152.0,2.0,999.0,0.0,0.0,0
24,29.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,3.0,220.0,3.0,999.0,0.0,0.0,0
25,37.0,2.0,0.0,6.0,0.0,1.0,0.0,1.0,5.0,4.0,281.0,1.0,999.0,0.0,0.0,1
26,33.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,274.0,1.0,999.0,0.0,0.0,0
27,39.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,180.0,2.0,999.0,0.0,0.0,0
28,47.0,2.0,2.0,6.0,0.0,1.0,1.0,1.0,3.0,1.0,185.0,1.0,999.0,0.0,0.0,1
29,59.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,163.0,3.0,999.0,0.0,0.0,0
30,31.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,436.0,1.0,999.0,0.0,0.0,0
31,44.0,4.0,0.0,6.0,0.0,1.0,1.0,1.0,8.0,3.0,504.0,2.0,999.0,0.0,0.0,1
32,77.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,7.0,2.0,96.0,6.0,999.0,0.0,0.0,0
33,30.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,559.0,4.0,999.0,0.0,0.0,0
34,37.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,345.0,1.0,999.0,0.0,0.0,1
35,29.0,2.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,167.0,1.0,999.0,0.0,0.0,0
36,23.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,202.0,1.0,999.0,0.0,0.0,0
37,37.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,438.0,2.0,999.0,0.0,0.0,0
38,26.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,186.0,1.0,999.0,0.0,0.0,0
